link_articol,platforma,data,cuvinte_cheie
https://www.digi24.ro/magazin/timp-liber/film/marii-castigatori-de-la-berlinala-2024-actorul-roman-sebastian-stan-a-primit-ursul-de-argint-2699793, digi24, 24.02.2024 21:43 ,nothing
https://www.digi24.ro/stiri/externe/un-deputat-conservator-britanic-a-fost-suspendat-din-partid-dupa-ce-a-spus-ca-primarul-londrei-este-controlat-de-islamisti-2699781, digi24, 24.02.2024 21:22 ,nothing
https://www.digi24.ro/stiri/externe/von-der-leyen-ue-va-transfera-ucrainei-in-martie-prima-transa-de-45-miliarde-de-euro-din-ajutorul-financiar-de-50-de-miliarde-2699773, digi24, 24.02.2024 21:09 ,ucrainei 
https://www.digi24.ro/stiri/actualitate/arhiepiscopia-tomisului-instituie-trei-zile-de-post-prin-ordin-toate-parohiile-si-manastirile-vor-anunta-enoriasii-2699763, digi24, 24.02.2024 20:34 ,nothing
https://www.digi24.ro/stiri/actualitate/politica/singurul-primar-usr-din-judetul-sibiu-a-trecut-la-psd-usr-este-o-dezamagire-am-cheltuit-resurse-importante-pentru-a-l-sustine-2699741, digi24, 24.02.2024 20:13 ,nothing
https://www.digi24.ro/stiri/externe/un-soldat-ucrainean-lupta-singur-cu-zece-rusi-unul-singur-va-tine-pe-loc-sunteti-10-toti-rusii-au-fost-ucisi-sau-raniti-2699729, digi24, 24.02.2024 20:08 ,nothing
https://www.digi24.ro/stiri/politia-capitalei-cere-ajutor-pentru-gasirea-unei-fete-de-14-ani-care-a-plecat-de-acasa-2699733, digi24, 24.02.2024 20:00 ,nothing
https://www.digi24.ro/stiri/actualitate/politica/ciolacu-despre-primarii-pnl-care-vor-candida-din-partea-psd-mi-as-dori-sa-nu-se-mai-intample-2699719, digi24, 24.02.2024 19:06 ,nothing
https://www.digi24.ro/stiri/actualitate/politica/ciolacu-despre-comasarea-alegerilor-nu-mi-a-trecut-prin-cap-sa-comasez-dragobetele-cu-sfantul-valentin-2699705, digi24, 24.02.2024 18:37 ,nothing
https://www.digi24.ro/stiri/actualitate/sanatate/focar-de-rujeola-intr-o-comunitate-de-romi-din-nasaud-15-copii-au-ajuns-la-spital-2699703, digi24, 24.02.2024 18:27 ,nothing
https://www.digi24.ro/stiri/actualitate/protest-al-comunitatii-ucrainene-in-fata-ambasadei-rusiei-din-bucuresti-la-doi-ani-de-razboi-in-ucraina-2699659, digi24, 24.02.2024 18:13 ,război ucraina rusiei 
https://www.digi24.ro/stiri/externe/rusia/trupul-lui-aleksei-navalniii-a-fost-predat-mamei-sale-2699679, digi24, 24.02.2024 18:00 ,nothing
https://www.digi24.ro/stiri/un-barbat-din-vaslui-s-a-impuscat-in-cap-cu-un-asomator-2699675, digi24, 24.02.2024 17:55 ,nothing
